date,ad_name,country,spend,impressions,clicks,installs
2026-06-21,Cardia_Adr_India_Install_Cpi_2162026_M_NewCreative,IN,477969,24963,459,151
2026-06-22,Cardia_Adr_India_Install_Cpi_2162026_M_NewCreative,IN,312239,18727,270,102
2026-06-22,Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H2_EN_202606221322_clean,IN,80101,4756,62,11
2026-06-22,Cardia_Adr_India_Install_Roas_230626_CAR_A2_UGC_H1_EN_202606221042_clean,IN,278,27,0,
2026-06-22,A/B-Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H2_EN_202606221322_clean,IN,2955,169,3,
2026-06-22,A/B-Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H2_EN_202606221322_clean - Copy,IN,2471,172,1,1
2026-06-22,Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H1_EN_202606221143_clean,IN,73996,6787,48,10
2026-06-22,Cardia_Adr_India_Install_Roas_230626_CAR_A4_UGC_H1_EN_202606221659_clean,IN,18422,1173,18,
2026-06-23,Cardia_Adr_India_Install_Cpi_2162026_M_NewCreative,IN,303102,14854,273,115
2026-06-23,Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H2_EN_202606221322_clean,IN,30940,1686,31,10
2026-06-23,Cardia_Adr_India_Install_Roas_230626_CAR_A2_UGC_H1_EN_202606221042_clean,IN,2680,107,3,
2026-06-23,A/B-Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H2_EN_202606221322_clean,IN,20839,899,34,10
2026-06-23,A/B-Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H2_EN_202606221322_clean - Copy,IN,20447,1067,33,14
2026-06-23,Cardia_Adr_India_Install_Bidding_230626_All_Normal_CreativeD_CAR_A6_UGC_H1_EN_202606221143_clean,IN,594,33,0,
2026-06-23,Cardia_Adr_India_Install_Bidding_230626_All_Normal_CreativeC_CAR_A4_UGC_H1_EN_202606221659_clean,IN,83,13,0,
2026-06-23,Cardia_Adr_India_Install_Bidding_230626_All_Normal_CreativeB_CAR_A6_UGC_H2_EN_202606221322_clean,IN,16,2,0,
2026-06-23,Cardia_Adr_India_Install_Bidding_230626_All_Normal_CreativeA_CAR_A2_UGC_H1_EN_202606221042_clean,IN,25,4,0,
2026-06-23,Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H1_EN_202606221143_clean,IN,162189,9395,340,63
2026-06-23,Cardia_Adr_India_Install_Roas_230626_CAR_A4_UGC_H1_EN_202606221659_clean,IN,47763,2962,73,15
2026-06-23,Cardia_Adr_US_Install_Short-Content_230626_Over50_All,US,29527,46,2,1
2026-06-23,Cardia_Adr_US_Install_M-Content_230626_Over50_All_230626_Over50_All,US,30607,43,0,
2026-06-23,Cardia_Adr_US_Install_LM-Content_230626_Over50_All,US,80862,106,0,
2026-06-23,Cardia_Adr_US_Install_M-Content_230626_Over50_All_230626_Over50_All - Copy,US,73192,79,1,
2026-06-23,Cardia_Adr_US_Install_Normal_230626_25-45_W_Content2,US,194211,235,8,3
2026-06-23,Cardia_Adr_US_Install_Adv_230626_18-44_All_Content3,US,207023,286,7,1
2026-06-24,Cardia_Adr_India_Install_Cpi_2162026_M_NewCreative,IN,407571,22332,417,193
2026-06-24,Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H2_EN_202606221322_clean,IN,11023,447,23,4
2026-06-24,Cardia_Adr_India_Install_Roas_230626_CAR_A2_UGC_H1_EN_202606221042_clean,IN,125,2,0,
2026-06-24,A/B-Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H2_EN_202606221322_clean,IN,19756,860,25,9
2026-06-24,A/B-Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H2_EN_202606221322_clean - Copy,IN,20483,946,31,14
2026-06-24,Cardia_Adr_India_Install_Bidding_230626_All_Normal_CreativeD_CAR_A6_UGC_H1_EN_202606221143_clean,IN,1061,69,0,
2026-06-24,Cardia_Adr_India_Install_Bidding_230626_All_Normal_CreativeC_CAR_A4_UGC_H1_EN_202606221659_clean,IN,1115,83,1,
2026-06-24,Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H1_EN_202606221143_clean,IN,148347,7188,352,34
2026-06-24,Cardia_Adr_India_Install_Roas_230626_CAR_A4_UGC_H1_EN_202606221659_clean,IN,83591,3390,190,30
2026-06-25,Cardia_Adr_India_Install_Cpi_2162026_M_NewCreative,IN,377286,19709,367,140
2026-06-25,Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H2_EN_202606221322_clean,IN,1533,55,4,
2026-06-25,A/B-Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H2_EN_202606221322_clean,IN,20319,1001,29,12
2026-06-25,A/B-Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H2_EN_202606221322_clean - Copy,IN,20408,855,40,13
2026-06-25,Cardia_Adr_India_Install_Bidding_230626_All_Normal_CreativeD_CAR_A6_UGC_H1_EN_202606221143_clean,IN,3,2,0,
2026-06-25,Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H1_EN_202606221143_clean,IN,120916,5383,302,46
2026-06-25,Cardia_Adr_India_Install_Roas_230626_CAR_A4_UGC_H1_EN_202606221659_clean,IN,118630,4553,270,49
2026-06-25,Cardia_US_Broad_Install_Volume_250626_1844_All_CAR_A1_UGC_H1_US_clean,US,61196,58,2,
2026-06-25,Cardia_US_Broad_Install_Volume_250626_1844_All_CAR_A2_UGC_H1_US_clean,US,22517,35,0,
2026-06-25,Cardia_US_Broad_Install_Volume_250626_1844_All_CAR_A4_UGC_H1_US_clean,US,480672,509,11,7
2026-06-25,Cardia_US_Broad_Install_Volume_260626_4566_All_CAR_A4_UGC_H2_US_clean,US,1682,1,0,
2026-06-26,Cardia_Adr_India_Install_Cpi_2162026_M_NewCreative,IN,383229,15654,357,139
2026-06-26,Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H2_EN_202606221322_clean,IN,2232,80,4,3
2026-06-26,Cardia_Adr_India_Install_Roas_230626_CAR_A2_UGC_H1_EN_202606221042_clean,IN,105,3,0,
2026-06-26,A/B-Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H2_EN_202606221322_clean,IN,19952,772,29,4
2026-06-26,A/B-Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H2_EN_202606221322_clean - Copy,IN,19706,654,31,4
2026-06-26,Cardia_Adr_India_Install_Bidding_230626_All_Normal_CreativeD_CAR_A6_UGC_H1_EN_202606221143_clean,IN,1354,95,1,
2026-06-26,Cardia_Adr_India_Install_Bidding_230626_All_Normal_CreativeC_CAR_A4_UGC_H1_EN_202606221659_clean,IN,13,1,0,
2026-06-26,Cardia_Adr_India_Install_Bidding_230626_All_Normal_CreativeA_CAR_A2_UGC_H1_EN_202606221042_clean,IN,128,7,0,
2026-06-26,Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H1_EN_202606221143_clean,IN,118448,2451,306,60
