date,campaign_name,country,spend,impressions,clicks,installs
2026-06-21,Cardia_Adr_India_Install_Cpi_21062026,IN,477969,24963,459,151
2026-06-22,Cardia_Adr_India_Install_Cpi_21062026,IN,312239,18727,270,102
2026-06-22,Cardia_Adr_India_Install_Roas_230626,IN,178223,13084,132,22
2026-06-23,Cardia_Adr_India_Install_Cpi_21062026,IN,303102,14854,273,115
2026-06-23,Cardia_Adr_India_Install_Roas_230626,IN,284858,16116,514,112
2026-06-23,Cardia_Adr_India_Install_Bidding_230626_Normal,IN,718,52,0,
2026-06-23,Cardia_Adr_US_Install_230626,US,214188,274,3,1
2026-06-23,Cardia_Adr_US_Install_Normal_230626,US,194211,235,8,3
2026-06-23,Cardia_Adr_US_Install_Adv_230626,US,207023,286,7,1
2026-06-24,Cardia_Adr_India_Install_Cpi_21062026,IN,407571,22332,417,193
2026-06-24,Cardia_Adr_India_Install_Roas_230626,IN,283325,12833,621,91
2026-06-24,Cardia_Adr_India_Install_Bidding_230626_Normal,IN,2176,152,1,
2026-06-25,Cardia_Adr_India_Install_Cpi_21062026,IN,377286,19709,367,140
2026-06-25,Cardia_Adr_India_Install_Roas_230626,IN,281806,11847,645,120
2026-06-25,Cardia_Adr_India_Install_Bidding_230626_Normal,IN,3,2,0,
2026-06-25,Cardia_US_Broad_Install_Volume_250626,US,566067,603,13,7
2026-06-26,Cardia_Adr_India_Install_Cpi_21062026,IN,383229,15654,357,139
2026-06-26,Cardia_Adr_India_Install_Roas_230626,IN,279818,6709,671,115
2026-06-26,Cardia_Adr_India_Install_Bidding_230626_Normal,IN,1495,103,1,
2026-06-26,Cardia_US_Broad_Install_Volume_250626,US,371489,469,13,3
2026-06-26,Cardia_Value_US_260626_Install,AR,14512,109,6,
2026-06-26,Cardia_Value_US_260626_Install,BO,21381,171,21,4
2026-06-26,Cardia_Value_US_260626_Install,BR,67274,570,13,6
2026-06-26,Cardia_Value_US_260626_Install,CL,2500,33,1,1
2026-06-26,Cardia_Value_US_260626_Install,CO,13315,94,8,1
2026-06-26,Cardia_Value_US_260626_Install,EC,19150,207,20,
2026-06-26,Cardia_Value_US_260626_Install,PY,6612,63,7,
2026-06-26,Cardia_Value_US_260626_Install,PE,19360,123,16,9
2026-06-26,Cardia_Value_US_260626_Install,SR,0,0,1,
2026-06-26,Cardia_Value_US_260626_Install,UY,7583,45,3,1
2026-06-26,Cardia_Value_US_260626_Install,VE,224480,3747,385,21
2026-06-26,Cardia_Global_Value_Install_260626_All,AF,2457,247,9,1
2026-06-26,Cardia_Global_Value_Install_260626_All,DZ,38775,1397,49,4
2026-06-26,Cardia_Global_Value_Install_260626_All,AO,1134,28,2,
2026-06-26,Cardia_Global_Value_Install_260626_All,AG,629,7,1,1
