date,campaign_name,adset_name,ad_name,spend,impressions,reach,clicks,ctr,inline_link_click_ctr,cpm,installs,video_3s,cost_per_install,quality_ranking,engagement_rate_ranking,conversion_rate_ranking,currency
2026-07-04,Say_Global_Auto_Install_050726_All,,,82977,6526,5871,101,1.547656,1.562979,12714.832976,15,732,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-05,Say_Global_Auto_Install_050726_All,,,355354,30063,23392,459,1.526794,1.520141,11820.310681,93,3595,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-05,Say_Global_Auto_Install_060726_All,,,68980,4908,4298,91,1.854116,1.752241,14054.604727,19,701,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-06,Say_Global_Auto_Install_050726_All,,,45364,3484,3169,54,1.549943,1.549943,13020.665901,23,380,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-06,Say_Global_Auto_Install_060726_All,,,195935,16871,14083,229,1.357359,1.404777,11613.715844,89,2681,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-06,Say_Global_Auto_Install_060726_All_Ads2_3Adcreative,,,281322,30126,24164,329,1.09208,1.068844,9338.179645,92,4969,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-06,Say_Global_Bidding_Install_060726_All_Ads3,,,7363,871,823,3,0.344432,0.344432,8453.501722,,138,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-06,Say_Global_Bidding_Install_060726_All_Ads2_3Adcreative,,,7806,900,850,10,1.111111,1,8673.333333,1,156,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-06,Say_Global_Auto_Install_060726_All_Ads4,,,272456,25587,21270,271,1.059132,1.023957,10648.219799,93,4061,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-07,Say_Global_Auto_Install_060726_All,,,42231,3676,3346,46,1.25136,1.224157,11488.302503,15,618,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-07,Say_Global_Auto_Install_060726_All_Ads2_3Adcreative,,,83257,8652,7908,123,1.421637,1.294498,9622.861766,35,1271,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-07,Say_Global_Bidding_Install_060726_All_Ads3,,,482,72,71,0,0,,6694.444444,,8,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-07,Say_Global_Bidding_Install_060726_All_Ads2_3Adcreative,,,259,31,31,0,0,,8354.83871,,3,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-07,Say_Global_Auto_Install_060726_All_Ads4,,,87713,6802,6146,102,1.499559,1.470156,12895.177889,57,1166,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-08,Say_Global_Auto_Install_060726_All,,,0,0,0,0,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-08,Say_Global_Auto_Install_060726_All_Ads4,,,0,0,0,0,,,,1,,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-06,Cardia_Global_Auto_Roas_060726_All,,,5.08,10004,9740,32,0.319872,0.259896,0.507797,8,1970,,UNKNOWN,UNKNOWN,UNKNOWN,USD
2026-07-07,Cardia_Global_Auto_Roas_060726_All,,,20.14,20071,18659,196,0.976533,0.956604,1.003438,72,5236,,UNKNOWN,UNKNOWN,UNKNOWN,USD
2026-07-08,Cardia_Global_Auto_Roas_060726_All,,,15.98,8420,7524,170,2.019002,1.983373,1.897862,95,2414,,UNKNOWN,UNKNOWN,UNKNOWN,USD
2026-07-08,Cardia_Global_Auto_Roas_080726_All,,,14.53,20617,18134,191,0.92642,0.902168,0.704758,91,5325,,UNKNOWN,UNKNOWN,UNKNOWN,USD
2026-07-08,Cardia_SouthAfrica_Auto_Roas_080726_All,,,15.23,6717,5955,77,1.146345,1.146345,2.267381,36,2407,,UNKNOWN,UNKNOWN,UNKNOWN,USD
