campaign_name,effective_status
Say_US_Bidding_Install_060726_All_Ads2_3Adcreative,PAUSED
Say_Global_Auto_Install_060726_All_Ads4,PAUSED
Say_Global_Bidding_Install_060726_All_Ads2_3Adcreative,PAUSED
Say_Global_Bidding_Install_060726_All_Ads3,PAUSED
Say_Global_Auto_Install_060726_All_Ads2_3Adcreative,PAUSED
Say_Global_Auto_Install_060726_All,PAUSED
Say_Global_Auto_Install_050726_All,PAUSED
AC_SAYA_US_EDEN_Install_META_120726,ACTIVE
Say_US_Bidding_Install_120726_All_Creative_Crawl_LooraAI,ACTIVE
Say_US_Bidding_Install_120726_All_Creative_Crawl_BetterSpeak,ACTIVE
Say_US_Bidding_Install_120726_All_Creative_SAYA_S8_UGC_H1_IT_META_clean,ACTIVE
AC_SAYA_US_S9_Install_META_110726,PAUSED
AC_SAYA_US_S7_Install_META_110726,ACTIVE
AC_SAYA_US_S5_Install_META_110726,ACTIVE
AC_SAYA_US_S3_Install_META_110726,ACTIVE
AC_SAYA_US_S2_Install_META_110726,PAUSED
AC_SAYA_US_S1_Install_META_110726,PAUSED
AC_SAYA_US_S8_Install_META_110726,ACTIVE
Say_US_Bidding_Install_110726_All_Creative_S3,PAUSED
Say_US_Bidding_Install_110726_All_Creative_S2,PAUSED
Say_US_Bidding_Install_110726_All_Creative_S5,PAUSED
Say_US_Bidding_Install_110726_All_Creative_S8,ACTIVE
Say_US_Bidding_Install_110726_All_Creative_S6,ACTIVE
Say_US_Bidding_Install_110726_All_Creative_S7,PAUSED
Say_US_Bidding_Install_110726_All_Creative_S9,ACTIVE
Say_US_Bidding_Install_110726_All_Creative_S1,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S9,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S7,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S6,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S5,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S3,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S2,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S1,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S8,PAUSED
Eden_EnglishTutor_Global_Install_Max,PAUSED
Say_Global_Auto_Install_080726_All_Creative,PAUSED
Say_US_Auto_Install_080726_All,PAUSED
Say_Global_Auto_Install_080726_All,PAUSED
AC_SAYA_US_EDEN_Install_META_120726,ACTIVE
Say_US_Bidding_Install_120726_All_Creative_Crawl_LooraAI,ACTIVE
Say_US_Bidding_Install_120726_All_Creative_Crawl_BetterSpeak,ACTIVE
Say_US_Bidding_Install_120726_All_Creative_SAYA_S8_UGC_H1_IT_META_clean,ACTIVE
AC_SAYA_US_S9_Install_META_110726,PAUSED
AC_SAYA_US_S7_Install_META_110726,ACTIVE
AC_SAYA_US_S5_Install_META_110726,ACTIVE
AC_SAYA_US_S3_Install_META_110726,ACTIVE
AC_SAYA_US_S2_Install_META_110726,PAUSED
AC_SAYA_US_S1_Install_META_110726,PAUSED
AC_SAYA_US_S8_Install_META_110726,ACTIVE
Say_US_Bidding_Install_110726_All_Creative_S3,PAUSED
Say_US_Bidding_Install_110726_All_Creative_S2,PAUSED
Say_US_Bidding_Install_110726_All_Creative_S5,PAUSED
Say_US_Bidding_Install_110726_All_Creative_S8,ACTIVE
Say_US_Bidding_Install_110726_All_Creative_S6,ACTIVE
Say_US_Bidding_Install_110726_All_Creative_S7,PAUSED
Say_US_Bidding_Install_110726_All_Creative_S9,ACTIVE
Say_US_Bidding_Install_110726_All_Creative_S1,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S9,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S7,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S6,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S5,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S3,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S2,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S1,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S8,PAUSED
Eden_EnglishTutor_Global_Install_Max,PAUSED
Say_Global_Auto_Install_080726_All_Creative,PAUSED
Say_US_Auto_Install_080726_All,PAUSED
Say_Global_Auto_Install_080726_All,PAUSED
